"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"261",2,103,2,0.0481328535210563,TRUE,0.390360029179413,0.196116135138184,0.72,0.250504425469728,0.125252212734864,0.250504425469728,2,FALSE
"262",2.143,80,2.143,0.0351519656213428,TRUE,0.473309520756792,0.238111111111111,0.72,0.303966665811902,0.141841654601914,-0.303966665811902,-2.143,FALSE
"263",2.914,80,2.914,0.00462523687867034,TRUE,0.643594933964206,0.323777777777778,0.72,0.413326581509978,0.141841654601914,-0.413326581509978,-2.914,FALSE
"264",2.36,39,2.36,0.023373183629283,TRUE,0.737140156114221,0.373148763899869,0.72,0.475066353719887,0.201299302423681,-0.475066353719887,-2.36,FALSE
"265",3.03,81,3.03,0.00328174231042921,TRUE,0.665171415537523,0.334607524006785,0.72,0.427165413635392,0.140978684368116,-0.427165413635392,-3.03,FALSE
"266",2.4,102,2.4,0.0182086195436526,TRUE,0.470678724331642,0.23647902675943,0.72,0.30205494207965,0.125856225866521,0.30205494207965,2.4,FALSE
"267",0.16,13,0.16,0.875340404070662,FALSE,0.0826236447190916,0.0427617987059879,0.72,0.0539231155896569,0.337019472435356,-0.0539231155896569,-0.16,FALSE
"269",5.01,84,5.01,2.97249658021137e-06,TRUE,1.08048438749845,0.543410796835734,0.72,0.693791402221295,0.138481317808642,0.693791402221295,5.01,FALSE
"270",3.9,86,3.9,0.000190246989811627,TRUE,0.831482793786881,0.41812388858674,0.72,0.533864382042779,0.136888303087892,0.533864382042779,3.9,FALSE
"271",4.23,7,4.23,0.00388812929683446,TRUE,2.82,1.49553084220955,0.93,1.58824368325488,0.375471319918411,-1.58824368325488,-4.23,FALSE
"273",3.09,7,3.09,0.0175669936502978,TRUE,2.06,1.09247997693322,0.93,1.16020637854789,0.375471319918411,1.16020637854789,3.09,FALSE
"275",3.3,7,3.3,0.013120714938438,TRUE,2.2,1.1667261889578,0.93,1.23905535573076,0.375471319918411,-1.23905535573076,-3.3,FALSE
"276",4.05,7,4.05,0.00487080524589945,TRUE,2.7,1.43189123190276,0.93,1.52065884566957,0.375471319918411,1.52065884566957,4.05,FALSE
"277",0.81,7,0.81,0.444599191993249,FALSE,0.54,0.286378246380552,0.93,0.304131769133913,0.375471319918411,0.304131769133913,0.81,FALSE
"279",3.6,7,3.6,0.00873981814964031,TRUE,2.4,1.27279220613579,0.93,1.35169675170628,0.375471319918411,1.35169675170628,3.6,FALSE
"280",3.56,7,3.56,0.00921943904847566,TRUE,2.37333333333333,1.25865007051205,0.93,1.33667789890954,0.375471319918411,-1.33667789890954,-3.56,FALSE
"281",1.31,7,1.31,0.23154532810134,FALSE,0.873333333333333,0.463154941677189,0.93,0.491867429093119,0.375471319918411,-0.491867429093119,-1.31,FALSE
"282",0.068,7,0.068,0.947687232705136,FALSE,0.0453333333333333,0.0240416305603426,0.93,0.025532049754452,0.375471319918411,-0.025532049754452,-0.068,FALSE
"283",2.33,7,2.33,0.0526139007413629,FALSE,1.55333333333333,0.823779400082328,0.93,0.874848175409898,0.375471319918411,-0.874848175409898,-2.33,FALSE
"284",0.79,7,0.79,0.45545166145564,FALSE,0.526666666666667,0.279307178568686,0.93,0.296622342735545,0.375471319918411,0.296622342735545,0.79,FALSE
"285",0.48,7,0.48,0.645863248908194,FALSE,0.32,0.169705627484771,0.93,0.180226233560837,0.375471319918411,-0.180226233560837,-0.48,FALSE
"286",0.39,7,0.39,0.708131588373506,FALSE,0.26,0.137885822331377,0.93,0.14643381476818,0.375471319918411,0.14643381476818,0.39,FALSE
"287",2.14,17,2.14,0.0471508861791046,TRUE,0.981899340966004,0.504402837246404,0.72,0.638101858287892,0.298178438452286,-0.638101858287892,-2.14,FALSE
"288",4.89,17,4.89,0.000138023526027098,TRUE,2.24368587725409,1.15258405333407,0.72,1.45809256403168,0.298178438452286,1.45809256403168,4.89,FALSE
"289",0.212,17,0.212,0.834627990092993,FALSE,0.0972722711611182,0.0499688792038494,0.72,0.0632138289518846,0.298178438452286,-0.0632138289518846,-0.212,FALSE
