"","tvalues","df","t","pval","rej","D2","D1","p.one.samp","D","SE","Dr","tr","exclude"
"21306",4.51,4,4.51,0.0107400569737797,TRUE,3.68239957998404,2.01693331570481,0.93,2.13351595420436,0.473063404479902,-2.13351595420436,-4.51,FALSE
"10198",3.34,12,3.34,0.005888099691572,TRUE,1.78530509597499,0.926349327696133,0.72,1.16685694281421,0.34935836611204,-1.16685694281421,-3.34,FALSE
"11855",2.79,7,2.79,0.0269083291937617,TRUE,1.86,0.986413959755234,0.93,1.04756498257237,0.375471319918411,1.04756498257237,2.79,FALSE
"15390",0.44,4,0.44,0.682666936003286,FALSE,0.3592584956082,0.196773982019981,0.93,0.208147897971157,0.473063404479902,0.208147897971157,0.44,FALSE
"10498",2.7,12,2.7,0.0193093689926271,TRUE,1.44321070632709,0.748845264904059,0.72,0.943267588502509,0.34935836611204,0.943267588502509,2.7,FALSE
"8891",2.31,94,2.31,0.0230765324262072,TRUE,0.471526775485762,0.237000999331671,0.72,0.302668216654816,0.131025202015072,0.302668216654816,2.31,FALSE
"6280",1.07,15,1.07,0.301535631670675,FALSE,0.519026237577753,0.2675,0.72,0.337927346521771,0.315819950020346,-0.337927346521771,-1.07,FALSE
"6089",3.71,60,3.71,0.000455244843982738,TRUE,0.942340942341414,0.475016824551044,0.72,0.605867577532348,0.163306624671792,0.605867577532348,3.71,FALSE
"24791",0.22,36,0.22,0.827113957767133,FALSE,0.0713774252975355,0.0361677772071786,0.72,0.0460264786724785,0.209211266693084,-0.0460264786724785,-0.22,FALSE
"23716",0.351,16,0.351,0.730167412250852,FALSE,0.165462986797652,0.0851300043877529,0.72,0.107623239462525,0.306618915847649,-0.107623239462525,-0.351,FALSE
"9408",4.3,19,4.3,0.000386377803216043,TRUE,1.87667385602953,0.96150923032491,0.72,1.2177553255222,0.283198912912141,-1.2177553255222,-4.3,FALSE
"943",1.29,78,1.29,0.200862155437085,FALSE,0.288452769097473,0.145136339219457,0.72,0.185264939585301,0.143616232236668,0.185264939585301,1.29,FALSE
"8640",0.31,13,0.31,0.761474486688838,FALSE,0.16008331164324,0.0828509849928516,0.72,0.10447603645496,0.337019472435356,0.10447603645496,0.31,FALSE
"22139",3.23,13,3.23,0.00657659918819897,TRUE,1.66796482776666,0.863253811377131,0.72,1.0885728959662,0.337019472435356,-1.0885728959662,-3.23,FALSE
"3878",5.14,827,5.14,3.43066727248598e-07,TRUE,0.357039157786655,0.178627348042227,0.72,0.228582654770667,0.0444713336129702,-0.228582654770667,-5.14,FALSE
"19407",0.09,7,0.09,0.930808271203805,FALSE,0.06,0.0318198051533946,0.93,0.033792418792657,0.375471319918411,-0.033792418792657,-0.09,FALSE
"12133",4.43,13,4.43,0.000679119667472694,TRUE,2.28764216315985,1.18396730167204,0.72,1.49299626288863,0.337019472435356,1.49299626288863,4.43,FALSE
"1390",5.401,13,5.401,0.000120934576482989,TRUE,2.78906440704883,1.443477967569,0.72,1.82024217062336,0.337019472435356,1.82024217062336,5.401,FALSE
"24561",2.2,34,2.2,0.0347025189579973,TRUE,0.733333333333333,0.371867872080547,0.72,0.473078201231327,0.21503554601424,-0.473078201231327,-2.2,FALSE
"9555",2.3,24,2.3,0.030449585389609,TRUE,0.902134221635646,0.46,0.72,0.583797582057981,0.253825035677383,-0.583797582057981,-2.3,FALSE
"1988",3.6,73,3.6,0.000576757532629202,TRUE,0.831384387633061,0.418491499477749,0.72,0.534101508161237,0.148361530044788,-0.534101508161237,-3.6,FALSE
"21238",2.84,26,2.84,0.00864737420730988,TRUE,1.07341910334621,0.546558254832846,0.72,0.694079292416586,0.244394117048094,0.694079292416586,2.84,FALSE
"20253",2.11,28,2.11,0.0439236519306938,TRUE,0.770463064223934,0.391817163553579,0.72,0.497838015741279,0.235942187555108,0.497838015741279,2.11,FALSE
"2043",4.69,59,4.69,1.66255960099004e-05,TRUE,1.20098593377056,0.605476396457093,0.72,0.772219066904865,0.1646522530714,-0.772219066904865,-4.69,FALSE
"14374",0.1461,6,0.1461,0.888627429446288,FALSE,0.103308300731355,0.0552206095066481,0.93,0.0585867478923775,0.40100443458164,-0.0585867478923775,-0.1461,FALSE
"24371",5.14,13,5.14,0.000189963189761055,TRUE,2.65428458660082,1.37372278342986,0.72,1.73228008831773,0.337019472435356,-1.73228008831773,-5.14,FALSE
"3003",3.569,15,3.569,0.0027980223959827,TRUE,1.73121929150934,0.89225,0.72,1.12716140162262,0.315819950020346,-1.12716140162262,-3.569,FALSE
"2171",2.98,53,2.98,0.00434373886173933,TRUE,0.803646236056185,0.405526635194104,0.72,0.517000123435487,0.17348997430721,0.517000123435487,2.98,FALSE
"22978",1.49,11,1.49,0.164328963023864,FALSE,0.826503292375591,0.430125950546271,0.72,0.541111606258481,0.363162151851329,0.541111606258481,1.49,FALSE
"9792",2.689,7,2.689,0.0311307865058994,TRUE,1.79266666666667,0.950705067305313,0.93,1.00964237926061,0.375471319918411,-1.00964237926061,-2.689,FALSE
"17036",2.25,10,2.25,0.0481796502515119,TRUE,1.29903810567666,0.678400525299968,0.93,0.721845155926336,0.320820069300594,-0.721845155926336,-2.25,FALSE
"10897",1.861,33,1.861,0.07167338166626,FALSE,0.629132827219908,0.319158866950209,0.72,0.405951575825725,0.2181362578322,0.405951575825725,1.861,FALSE
"3846",0.48,54,0.48,0.633166046826538,FALSE,0.128285396117964,0.0647231867964712,0.72,0.0825206054064891,0.171917927930186,0.0825206054064891,0.48,FALSE
"20279",2.56,20,2.56,0.0186707128588042,TRUE,1.09158766774073,0.558637799004141,0.72,0.707863762250384,0.276509282129056,-0.707863762250384,-2.56,FALSE
"21103",2.958,19,2.958,0.00807801506764738,TRUE,1.29097703863613,0.661428907744438,0.72,0.837702384394112,0.283198912912141,-0.837702384394112,-2.958,FALSE
"7131",3.04,15,3.04,0.00827042129587041,TRUE,1.4746166002209,0.76,0.72,0.960092648061853,0.315819950020346,-0.960092648061853,-3.04,FALSE
"24928",4.18,14,4.18,0.000925868119414863,TRUE,2.09,1.07927135914313,0.72,1.36227537858306,0.325903200617956,-1.36227537858306,-4.18,FALSE
"24374",2.84,6,2.84,0.0295669522222193,TRUE,2.00818325856979,1.07341910334621,0.93,1.13885259421186,0.40100443458164,-1.13885259421186,-2.84,FALSE
"20916",2.05,37,2.05,0.0475008874998282,TRUE,0.656525430600857,0.332553913318063,0.72,0.423265938157246,0.206471189344998,0.423265938157246,2.05,FALSE
"8185",5.18,25,5.18,2.34092192723523e-05,TRUE,1.99378292960151,1.01588158001579,0.72,1.28969395789979,0.248975667548223,1.28969395789979,5.18,FALSE
"1595",2.03,109,2.03,0.0447919257073888,TRUE,0.385358146275515,0.193552905616855,0.72,0.24725837300128,0.121802154187823,0.24725837300128,2.03,FALSE
"16716",4.66,25,4.66,8.99451645066662e-05,TRUE,1.79363483628244,0.913901189743938,0.72,1.16022661077472,0.248975667548223,1.16022661077472,4.66,FALSE
"4305",3.89,107,3.89,0.000174443117614276,TRUE,0.745188849902056,0.374315424524607,0.72,0.478159983630293,0.12292030427514,0.478159983630293,3.89,FALSE
"18896",0.33,5,0.33,0.754777343024414,FALSE,0.24945655218609,0.134721935853075,0.93,0.142753358996386,0.432585936352684,0.142753358996386,0.33,FALSE
"25546",2.3,13,2.3,0.0386588373358339,TRUE,1.18771489283694,0.614700856398576,0.72,0.775144786601318,0.337019472435356,-0.775144786601318,-2.3,FALSE
"5107",2.82,17,2.82,0.0117978546057489,TRUE,1.29390473902997,0.664680374315355,0.72,0.840863196435446,0.298178438452286,-0.840863196435446,-2.82,FALSE
"23531",3.18,9,3.18,0.0111847804110186,TRUE,1.91761215151458,1.00560429593354,0.93,1.06944484582422,0.336303410636546,1.06944484582422,3.18,FALSE
"12482",2.03,30,2.03,0.0513058760584517,FALSE,0.717713382904346,0.364598763114353,0.72,0.463470856655551,0.228310766825395,0.463470856655551,2.03,FALSE
"6143",0.69,31,0.69,0.495327759057808,FALSE,0.240227165218863,0.121975919754679,0.72,0.155086268484651,0.224762707948769,-0.155086268484651,-0.69,FALSE
"8700",0.43,15,0.43,0.67330918078137,FALSE,0.208580637531246,0.1075,0.72,0.135802578508749,0.315819950020347,-0.135802578508749,-0.43,FALSE
"3973",2.19,30,2.19,0.0364350197189123,TRUE,0.774281925399269,0.393335611438637,0.72,0.500000579347614,0.228310766825395,0.500000579347614,2.19,FALSE
"15463",0.98,19,0.98,0.339400776945525,FALSE,0.427707064862545,0.219134661794979,0.72,0.277534934653898,0.283198912912141,-0.277534934653898,-0.98,FALSE
"19517",1.821,18,1.821,0.0852721523549049,FALSE,0.814375957405423,0.417766051378293,0.72,0.528816825065889,0.290399135126793,-0.528816825065889,-1.821,FALSE
"24858",5,66,5,4.48898734717318e-06,TRUE,1.21267812518166,0.610847221781526,0.72,0.779359874733565,0.155871974946713,0.779359874733565,5,FALSE
"19183",0.57,24,0.57,0.573975351916812,FALSE,0.22357239405753,0.114,0.72,0.144680270336108,0.253825035677383,-0.144680270336108,-0.57,FALSE
"23",2.27,44,2.27,0.0281592804694155,TRUE,0.669386480943233,0.338391620594968,0.72,0.431070181492482,0.189898758366732,0.431070181492482,2.27,FALSE
"14569",4.1,6,4.1,0.00635736672636544,TRUE,2.89913780286484,1.54965433933783,0.93,1.64411818178472,0.40100443458164,-1.64411818178472,-4.1,FALSE
"11666",1.82,29,1.82,0.0790957502421725,FALSE,0.653763299377461,0.332285018219801,0.72,0.422298936943946,0.232032382936234,0.422298936943946,1.82,FALSE
"15924",3.596,19,3.596,0.00192589361748707,TRUE,1.56942306657726,0.804090044708924,0.72,1.01838329083206,0.283198912912141,-1.01838329083206,-3.596,FALSE
"21420",3.46,16,3.46,0.00322476086336509,TRUE,1.63105964193697,0.839173262625712,0.72,1.06090144883286,0.306618915847649,1.06090144883286,3.46,FALSE
"10061",2.8,11,2.8,0.0172747690595232,TRUE,1.55316054943064,0.808290376865476,0.72,1.01685402518372,0.363162151851329,1.01685402518372,2.8,FALSE
"2394",4.04,37,4.04,0.000259145078377543,TRUE,1.2938354827451,0.655374541368281,0.72,0.834143604953791,0.206471189344998,-0.834143604953791,-4.04,FALSE
"15663",1.303,10,1.303,0.221778526728914,FALSE,0.752287400754082,0.392869281984826,0.93,0.418028550298674,0.320820069300594,0.418028550298674,1.303,FALSE
"7552",2.42,17,2.42,0.0270100125093236,TRUE,1.11037215193352,0.570399470157148,0.72,0.721591821054532,0.298178438452286,-0.721591821054532,-2.42,FALSE
"1112",2.99,45,2.99,0.00451086551384217,TRUE,0.87227264915741,0.440851448903142,0.72,0.561649384974337,0.187842603670347,0.561649384974337,2.99,FALSE
"3310",0.074,61,0.074,0.941252517320972,FALSE,0.0186462473351219,0.0093980093980141,0.72,0.0119875160204043,0.161993459735193,0.0119875160204043,0.074,FALSE
"25347",4.3,11,4.3,0.00125596088999247,TRUE,2.38521084376849,1.2413030787577,0.72,1.56159725296072,0.363162151851329,-1.56159725296072,-4.3,FALSE
"1944",0.17,29,0.17,0.866190553835098,FALSE,0.0610658026891035,0.0310376115919594,0.72,0.0394455050991598,0.232032382936234,0.0394455050991598,0.17,FALSE
"6529",0.62,50,0.62,0.538073300281251,FALSE,0.171957060829821,0.0868173652097366,0.72,0.11065647998336,0.178478193521549,-0.11065647998336,-0.62,FALSE
"8283",1,14,1,0.334281943394657,FALSE,0.5,0.258198889747161,0.72,0.325903200617956,0.325903200617956,0.325903200617956,1,FALSE
"12794",5.712,4,5.712,0.00464610088034512,TRUE,4.66382847025917,2.55448405749576,0.93,2.7021381663892,0.473063404479902,-2.7021381663892,-5.712,FALSE
"1765",2.52,24,2.52,0.0187970094533116,TRUE,0.988425321096448,0.504,0.72,0.639639089907005,0.253825035677383,-0.639639089907005,-2.52,FALSE
"17080",2.29,6,2.29,0.0619440460353413,FALSE,1.61927452891719,0.86553864319113,0.93,0.918300155191955,0.40100443458164,-0.918300155191955,-2.29,FALSE
"5720",2.28,40,2.28,0.0280139876300858,TRUE,0.703623275827139,0.356076177106022,0.72,0.453389364747935,0.198854984538568,-0.453389364747935,-2.28,FALSE
"8470",2.842,22,2.842,0.009484192476096,TRUE,1.1602416414983,0.592597964750207,0.72,0.751538194239672,0.264439899450976,0.751538194239672,2.842,FALSE
"11359",0.23,29,0.23,0.819706435747131,FALSE,0.0826184389323165,0.0419920627420627,0.72,0.0533674480753338,0.232032382936234,-0.0533674480753338,-0.23,FALSE
"4912",0.223,9,0.223,0.828514479432267,FALSE,0.134474059681683,0.0705187918217549,0.93,0.0749956605719498,0.336303410636546,-0.0749956605719498,-0.223,FALSE
"16443",0.991,37,0.991,0.328122485702682,FALSE,0.317374000841683,0.160761428340586,0.72,0.204612948640893,0.206471189344998,0.204612948640893,0.991,FALSE
"22465",1.551,21,1.551,0.135842381931627,FALSE,0.646811712405046,0.330674311067552,0.72,0.41919278344205,0.270272587648001,-0.41919278344205,-1.551,FALSE
"6129",4.13,100,4.13,7.53518167395661e-05,TRUE,0.817861870498733,0.410950359556726,0.72,0.524885582620488,0.127090940101813,-0.524885582620488,-4.13,FALSE
"9867",0.18,6,0.18,0.863077956344134,FALSE,0.127279220613579,0.0680336051416609,0.93,0.0721807982246951,0.40100443458164,-0.0721807982246951,-0.18,FALSE
"22986",2.1,119,2.1,0.0378411331381607,TRUE,0.381818181818182,0.191702895126808,0.72,0.244935175400393,0.116635797809711,-0.244935175400393,-2.1,FALSE
"16195",1.99,49,1.99,0.0521858978737075,FALSE,0.557311473443148,0.281428498912246,0.72,0.358675731780899,0.180239061196431,-0.358675731780899,-1.99,FALSE
"3985",5.04,45,5.04,8.05101965495325e-06,TRUE,1.47031911429878,0.743107459020682,0.72,0.946726722498548,0.187842603670347,-0.946726722498548,-5.04,FALSE
"18489",0.02,58,0.02,0.98411201798293,FALSE,0.00516397779494322,0.00260377821961648,0.72,0.00332063410070797,0.166031705035398,0.00332063410070797,0.02,FALSE
"5203",0.21,7,0.21,0.839649119564687,FALSE,0.14,0.0742462120245875,0.93,0.0788489771828663,0.375471319918411,-0.0788489771828663,-0.21,FALSE
"1361",0.09,73,0.09,0.928533695814926,FALSE,0.0207846096908265,0.0104622874869437,0.72,0.0133525377040309,0.148361530044788,-0.0133525377040309,-0.09,FALSE
"12351",0.9,4,0.9,0.419005519208084,FALSE,0.734846922834954,0.402492235949962,0.93,0.425757064031912,0.473063404479902,0.425757064031912,0.9,FALSE
"13941",2.27,15,2.27,0.0383827662601035,TRUE,1.10111173766495,0.5675,0.72,0.716911286546186,0.315819950020346,0.716911286546186,2.27,FALSE
"7095",4.12,4,4.12,0.0146124404983503,TRUE,3.36396591342223,1.84252001345983,0.93,1.94902122645719,0.473063404479902,1.94902122645719,4.12,FALSE
"21795",0.7,21,0.7,0.491609939212247,FALSE,0.291920179679905,0.149240501448927,0.72,0.189190811353601,0.270272587648001,-0.189190811353601,-0.7,FALSE
"13908",2.32,19,2.32,0.0316273037319963,TRUE,1.012531010695,0.518767770779951,0.72,0.657021477956166,0.283198912912141,0.657021477956166,2.32,FALSE
"13073",2.1,42,2.1,0.0417749927284001,TRUE,0.633173823613304,0.32024699769847,0.72,0.407866508954623,0.194222147121249,-0.407866508954623,-2.1,FALSE
"16203",5.66,23,5.66,9.21699006051213e-06,TRUE,2.264,1.15534266201273,0.72,1.46576671664917,0.258969384566991,1.46576671664917,5.66,FALSE
"23965",3.24,7,3.24,0.0142530552080786,TRUE,2.16,1.14551298552221,0.93,1.21652707653565,0.375471319918411,1.21652707653565,3.24,FALSE
"1720",2.81,85,2.81,0.00614722962713654,TRUE,0.602527244578841,0.303010092701662,0.72,0.386874895227272,0.137677898657392,0.386874895227272,2.81,FALSE
"14172",1.502,5,1.502,0.193406228749476,FALSE,1.13540527691972,0.613188932276722,0.93,0.649744076401732,0.432585936352684,-0.649744076401732,-1.502,FALSE
